temperatura | Data: 2024-06-13 02:39:36am Estado:3.62,
temperatura | Data: 2024-06-13 02:39:37am Estado:2.83,
temperatura | Data: 2024-06-13 02:39:38am Estado:2.05,
temperatura | Data: 2024-06-13 02:39:41am Estado:1.27,
temperatura | Data: 2024-06-13 02:39:44am Estado:0.49,
temperatura | Data: 2024-06-13 02:39:50am Estado:-0.49,
temperatura | Data: 2024-06-13 02:39:56am Estado:0.49,
temperatura | Data: 2024-06-13 02:39:58am Estado:1.27,
temperatura | Data: 2024-06-13 02:40:00am Estado:3.62,
temperatura | Data: 2024-06-13 02:40:01am Estado:4.40,
temperatura | Data: 2024-06-13 02:40:02am Estado:5.96,
temperatura | Data: 2024-06-13 02:40:03am Estado:7.53,
temperatura | Data: 2024-06-13 02:40:04am Estado:9.09,
temperatura | Data: 2024-06-13 02:40:06am Estado:12.22,
temperatura | Data: 2024-06-13 02:40:07am Estado:13.78,
temperatura | Data: 2024-06-13 02:40:08am Estado:15.35,
temperatura | Data: 2024-06-13 02:40:09am Estado:16.13,
temperatura | Data: 2024-06-13 02:40:12am Estado:15.35,
temperatura | Data: 2024-06-13 02:40:14am Estado:14.57,
temperatura | Data: 2024-06-13 02:40:15am Estado:13.00,
temperatura | Data: 2024-06-13 02:40:16am Estado:12.22,
temperatura | Data: 2024-06-13 02:40:17am Estado:9.87,
temperatura | Data: 2024-06-13 02:40:19am Estado:8.31,
temperatura | Data: 2024-06-13 02:40:20am Estado:6.74,
temperatura | Data: 2024-06-13 02:40:21am Estado:5.96,
temperatura | Data: 2024-06-13 02:40:22am Estado:5.18,
temperatura | Data: 2024-06-13 02:40:24am Estado:3.62,
temperatura | Data: 2024-06-13 02:40:25am Estado:2.83,
temperatura | Data: 2024-06-13 02:40:26am Estado:2.05,
temperatura | Data: 2024-06-13 02:40:28am Estado:1.27,
temperatura | Data: 2024-06-13 02:40:32am Estado:0.49,
temperatura | Data: 2024-06-13 02:40:38am Estado:-0.49,
temperatura | Data: 2024-06-13 02:40:44am Estado:0.49,
temperatura | Data: 2024-06-13 02:40:46am Estado:1.27,
temperatura | Data: 2024-06-13 02:40:47am Estado:2.05,
temperatura | Data: 2024-06-13 02:40:49am Estado:4.40,
temperatura | Data: 2024-06-13 02:40:50am Estado:5.96,
temperatura | Data: 2024-06-13 02:40:51am Estado:7.53,
temperatura | Data: 2024-06-13 02:40:52am Estado:9.09,
temperatura | Data: 2024-06-13 02:40:53am Estado:10.65,
temperatura | Data: 2024-06-13 02:40:55am Estado:13.78,
temperatura | Data: 2024-06-13 02:40:56am Estado:15.35,
temperatura | Data: 2024-06-13 02:40:57am Estado:16.13,
