Cancela/2024-04-21/08:51:38pm/Aberto,
Cancela/2024-04-21/08:51:38pm/Fechado,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:24am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:25am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:26am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:27am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:28am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:29am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:30am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:31am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:32am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
cancela | Data: 2024-06-14 12:00:33am Estado:0.00,
